depth,l2_leaf_reg,learning_rate,best_iteration,log_loss,bal_acc,accuracy,f1_macro,precision_macro,recall_macro
4,3,0.05,199,0.09192584389838285,0.8638471441440382,0.9677443247046624,0.9094449390106689,0.9656910578783617,0.8638471441440382
4,3,0.1,198,0.08749686315663845,0.8743806117142147,0.9687689022207409,0.9138363829033237,0.9611151491407958,0.8743806117142147
4,3,0.2,198,0.08599923359275186,0.8776805242423936,0.968867656680122,0.9144954370697863,0.9580000635159532,0.8776805242423936
4,5,0.05,199,0.0921541408863679,0.8641835231549333,0.9678677677788887,0.9098403076285525,0.966150987197591,0.8641835231549333
4,5,0.1,199,0.08762357483433791,0.8740823487486543,0.9687442136058957,0.9137292516715347,0.9613266551122095,0.8740823487486543
4,5,0.2,199,0.08608983626130687,0.8776671581660619,0.969003444061771,0.9147345093449335,0.9585571374587328,0.8776671581660619
6,3,0.05,199,0.08775739867857973,0.8756936282022864,0.9686084262242467,0.9136000739920637,0.9587156991503413,0.8756936282022864
6,3,0.1,199,0.08612297861220193,0.8762380190087175,0.968867656680122,0.9142973105168587,0.9596043299638831,0.8762380190087175
6,3,0.2,199,0.08523146902692175,0.8799348846583485,0.9690157883691936,0.915289454585969,0.9566981479877105,0.8799348846583485
6,5,0.05,199,0.08817606769138975,0.8758805367819374,0.968633114839092,0.913643216592031,0.9585839872935606,0.8758805367819374
6,5,0.1,199,0.08612884436206729,0.878010065827322,0.9689170339098125,0.9146686751393474,0.9579675556409658,0.878010065827322
6,5,0.2,199,0.08525441368261769,0.8816437212351937,0.9691886086731104,0.9158109702138146,0.9556043020711588,0.8816437212351937
8,3,0.05,199,0.08691391342709176,0.8755468808611878,0.9687442136058957,0.913920271831565,0.9596555448377844,0.8755468808611878
8,3,0.1,196,0.08556889727031693,0.8794364818945207,0.9688182794504314,0.9146631486216874,0.9559335344574627,0.8794364818945207
8,3,0.2,189,0.08523482862725311,0.8826138300620054,0.9691145428285746,0.9158912967244125,0.9544524776388584,0.8826138300620054
8,5,0.05,199,0.08680342177128936,0.8760966423914004,0.968731869298473,0.913970401028708,0.9589993248423431,0.8760966423914004
8,5,0.1,197,0.08576148043155747,0.8790101844385889,0.9688059351430088,0.9145682842576619,0.9562864729723239,0.8790101844385889
8,5,0.2,188,0.0852310351647651,0.881913932650573,0.9690281326766161,0.9154897426639478,0.9545079647377571,0.881913932650573
