iter	MultiClass
0	0.7927946844
1	0.6039120803
2	0.4784985833
3	0.3889173436
4	0.3228030331
5	0.2734764259
6	0.2354193788
7	0.2053847978
8	0.1820309406
9	0.1637296407
10	0.1489967282
11	0.1375160636
12	0.1282465205
13	0.1205802588
14	0.1143239162
15	0.1095203915
16	0.1056092991
17	0.1027582817
18	0.1002531994
19	0.09825181633
20	0.09665658529
21	0.09545693187
22	0.0944960788
23	0.09373033226
24	0.09304095858
25	0.09242442673
26	0.09189459159
27	0.09149735576
28	0.09123589473
29	0.09080398865
30	0.09044000801
31	0.0901058594
32	0.08984809204
33	0.08972490671
34	0.08941971273
35	0.08926612561
36	0.08926441881
37	0.08906872499
38	0.08892325825
39	0.08878661419
40	0.08870696724
41	0.08870204393
42	0.08865239392
43	0.08852254087
44	0.08838260847
45	0.0882407593
46	0.08820784429
47	0.0881912103
48	0.08814136013
49	0.08801360538
50	0.0880109904
51	0.08796693896
52	0.08791967607
53	0.08784793462
54	0.08782924987
55	0.08775980775
56	0.08762464
57	0.08751053662
58	0.08745151575
59	0.08741120361
60	0.087284261
61	0.08725036053
62	0.08716456047
63	0.08707501641
64	0.08700909609
65	0.08694567794
66	0.08689497884
67	0.08688399281
68	0.08688082846
69	0.08685671462
70	0.08675607575
71	0.08673645589
72	0.08666310788
73	0.08659029678
74	0.08654024056
75	0.08650550158
76	0.0864452169
77	0.08641083562
78	0.08633412795
79	0.08632886011
80	0.08632158148
81	0.08625465905
82	0.08621629004
83	0.08615855988
84	0.08609442223
85	0.08608094263
86	0.08602042527
87	0.08600887316
88	0.08594052075
89	0.08590278798
90	0.08589954584
91	0.08586540368
92	0.08584217882
93	0.08581078852
94	0.08575862541
95	0.08569282563
96	0.08568973049
97	0.08563107447
98	0.0855807931
99	0.08556083395
100	0.08552545866
101	0.0855093142
102	0.08549674189
103	0.08545528545
104	0.08541607014
105	0.08534098949
106	0.0853296942
107	0.08525773743
108	0.08525080214
109	0.08522076215
110	0.085168351
111	0.0851478261
112	0.08508578132
113	0.08505892418
114	0.08505136507
115	0.08495367719
116	0.08492660875
117	0.08488807034
118	0.0848475949
119	0.08484697196
120	0.084818728
121	0.0847595121
122	0.08471076154
123	0.08467716766
124	0.08462226509
125	0.0846042563
126	0.08452391734
127	0.0844876672
128	0.08443223293
129	0.08441189124
130	0.08439456453
131	0.08428747642
132	0.08426754778
133	0.08424406813
134	0.08422135749
135	0.08416437293
136	0.0841188819
137	0.08407428657
138	0.08407413164
139	0.08405691073
140	0.08402698819
141	0.08398317982
142	0.08392831583
143	0.08388749873
144	0.08388409429
145	0.08383318338
146	0.08380784243
147	0.08377298555
148	0.08371690344
149	0.08368948221
150	0.08366716599
151	0.08362452927
152	0.08359319454
153	0.08354633401
154	0.08350989663
155	0.08349063546
156	0.0834381564
157	0.0833797438
158	0.08335777695
159	0.08330254188
160	0.08324725314
161	0.08318288162
162	0.08315169116
163	0.08307134579
164	0.08303513978
165	0.08300946824
166	0.08297986651
167	0.08291894073
168	0.08289403692
169	0.08286455947
170	0.08283168955
171	0.08281267815
172	0.08277807105
173	0.08275410593
174	0.08274207794
175	0.08269733802
176	0.08264999113
177	0.08260622336
178	0.08256954716
179	0.08252639709
180	0.08249704056
181	0.08247485574
182	0.08243742972
183	0.08238730103
184	0.08231831892
185	0.08229462493
186	0.08226317979
187	0.08222570579
188	0.08218545972
189	0.0821567982
190	0.08209566497
191	0.08208822773
192	0.08204712096
193	0.08203003472
194	0.08198098453
195	0.08196194988
196	0.08195373103
197	0.08193600864
198	0.08189622031
199	0.08184721306
200	0.08180630398
201	0.08177608389
202	0.08175549058
203	0.081693446
204	0.08166669392
205	0.0816019794
206	0.08154747783
207	0.08148959673
208	0.08143223104
209	0.08138459881
210	0.08133117443
211	0.08131450545
212	0.08128785879
213	0.0812371718
214	0.08118849603
215	0.08113040552
216	0.08110386037
217	0.0810667834
218	0.08104199799
219	0.08098498239
220	0.0809222744
221	0.08088996032
222	0.08083578997
223	0.08080745088
224	0.08076698925
225	0.08073030264
226	0.08070368644
227	0.08062195238
228	0.08058947071
229	0.08051625828
230	0.0804940074
231	0.08046518964
232	0.08042648746
233	0.08034573878
234	0.08030325338
235	0.08025329488
236	0.0802192689
